ageRange,industry,annualSalary,addIncome,currency,workCountry,usState,usCity,overallProExp,fieldExp,eduLevel,gender,race,totalCompensation,compUSD
25-34,"Accounting, Banking & Finance",85000,15000.0,USD,USA,Tennessee,Memphis,8-10,8-10,College degree,Woman,White,100000.0,100000.0
35-44,Education (Higher Education),60000,0.0,USD,USA,Arizona,Tempe,11-20,11-20,PhD,Woman,White,60000.0,60000.0
45-54,Government and Public Administration,108000,0.0,USD,USA,New York,New York City,21-30,11-20,PhD,Woman,White,108000.0,108000.0
35-44,Public Library,61000,0.0,USD,USA,New York,New York,21-30,5-7,Master's degree,Woman,White,61000.0,61000.0
55-64,Education (Higher Education),45000,0.0,USD,USA,North Carolina,Greensboro,21-30,21-30,Master's degree,Woman,White,45000.0,45000.0
35-44,Nonprofits,51750,700.0,USD,USA,Michigan,Detroit,11-20,11-20,College degree,Woman,White,52450.0,52450.0
45-54,Law,130000,0.0,USD,USA,California,Los Angeles,31-40,11-20,College degree,Woman,White,130000.0,130000.0
25-34,Recruitment or HR,58240,8000.0,USD,USA,California,Irvine,2-4,2-4,College degree,Woman,"Asian or Asian American, White",66240.0,66240.0
25-34,"Marketing, Advertising & PR",65000,1000.0,USD,USA,Massachusetts,Easthampton,8-10,5-7,College degree,Man,White,66000.0,66000.0
35-44,Education (Higher Education),37500,0.0,USD,USA,Ohio,Columbus,11-20,11-20,Master's degree,Woman,Asian or Asian American,37500.0,37500.0
25-34,Education (Primary/Secondary),51000,0.0,USD,USA,Florida,Orlando,5-7,5-7,Master's degree,Woman,White,51000.0,51000.0
55-64,Computing or Tech,102000,0.0,USD,USA,Washington,Olympia,41+,31-40,Master's degree,Man,White,102000.0,102000.0
25-34,Education (Higher Education),52275,0.0,USD,USA,Florida,Tallahassee,8-10,8-10,Master's degree,Man,"Hispanic, Latino, or Spanish origin, White",52275.0,52275.0
25-34,Business or Consulting,56000,5000.0,USD,USA,Colorado,Fort Collins,2-4,2-4,College degree,Woman,White,61000.0,61000.0
35-44,Print / Mail,87000,500.0,USD,USA,North Carolina,Charlotte,11-20,11-20,College degree,Man,White,87500.0,87500.0
18-24,Computing or Tech,80000,10000.0,USD,USA,New Jersey,Holmdel,2-4,2-4,College degree,Man,White,90000.0,90000.0
35-44,Business or Consulting,76668,3000.0,USD,USA,California,Sacramento,8-10,5-7,Master's degree,Woman,White,79668.0,79668.0
35-44,"Marketing, Advertising & PR",13520,0.0,USD,USA,Ohio,Columbus,11-20,0-1,College degree,Woman,White,13520.0,13520.0
25-34,Education (Higher Education),45700,0.0,USD,USA,Ohio,Columbus,2-4,0-1,College degree,Woman,White,45700.0,45700.0
35-44,Education (Higher Education),75000,0.0,USD,USA,Massachusetts,Boston,5-7,5-7,PhD,Woman,White,75000.0,75000.0
35-44,Business or Consulting,72000,0.0,USD,USA,Texas,DFW,11-20,5-7,College degree,Woman,White,72000.0,72000.0
25-34,Engineering or Manufacturing,140000,0.0,USD,USA,California,Redwood City,8-10,8-10,College degree,Woman,Another option not listed here or prefer not to answer,140000.0,140000.0
35-44,Insurance,84000,8000.0,USD,USA,Wisconsin,Green Bay,11-20,2-4,Master's degree,Woman,White,92000.0,92000.0
35-44,Social Work,72000,0.0,USD,USA,New York,New York City,8-10,8-10,Master's degree,Woman,White,72000.0,72000.0
35-44,Government and Public Administration,92000,0.0,CAD,CANADA,,Ottawa,11-20,2-4,Master's degree,Woman,White,92000.0,66240.0
35-44,Law,101985,0.0,USD,USA,New Mexico,Roswell,11-20,8-10,"Professional degree (MD, JD, etc.)",Woman,White,101985.0,101985.0
35-44,Computing or Tech,99000,1500.0,USD,USA,New Jersey,Princeton,11-20,5-7,Master's degree,Woman,White,100500.0,100500.0
45-54,Nonprofits,56000,0.0,USD,USA,Arizona,Scottsdale,21-30,11-20,Master's degree,Woman,White,56000.0,56000.0
25-34,Government and Public Administration,110000,0.0,USD,USA,Washington,Seattle,8-10,5-7,Master's degree,Woman,White,110000.0,110000.0
35-44,"Marketing, Advertising & PR",123000,12000.0,USD,USA,Illinois,Chicago,11-20,11-20,College degree,Woman,White,135000.0,135000.0
25-34,Nonprofits,54540,0.0,USD,USA,District of Columbia,Washington,8-10,5-7,College degree,Woman,White,54540.0,54540.0
25-34,Retail,28000,2000.0,USD,USA,Oregon,Portland,5-7,2-4,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",30000.0,30000.0
25-34,Education (Higher Education),64575,0.0,USD,USA,New York,New York City,8-10,8-10,Master's degree,Man,White,64575.0,64575.0
25-34,Hospitality & Events,128125,42281.0,USD,USA,Virginia,Northern VA,8-10,8-10,College degree,Woman,White,170406.0,170406.0
35-44,Art & Design,62000,13000.0,CAD,CANADA,,Toronto,11-20,8-10,College degree,Woman,White,75000.0,54000.0
55-64,Nonprofits,33280,0.0,USD,USA,Minnesota,St. Paul,21-30,11-20,College degree,Woman,White,33280.0,33280.0
25-34,Computing or Tech,118000,32000.0,USD,USA,Washington,Seattle,11-20,5-7,Master's degree,Woman,White,150000.0,150000.0
45-54,real estate,40000,0.0,USD,USA,Virginia,Fairfax,21-30,11-20,College degree,Woman,White,40000.0,40000.0
35-44,Health care,225000,0.0,USD,USA,New York,Rochester,8-10,2-4,"Professional degree (MD, JD, etc.)",Woman,White,225000.0,225000.0
25-34,Nonprofits,90000,0.0,USD,USA,Virginia,Remote (org based out of DC metro area),8-10,5-7,Master's degree,Woman,White,90000.0,90000.0
25-34,Recruitment or HR,87000,0.0,USD,USA,California,San Francisco,5-7,5-7,College degree,Woman,White,87000.0,87000.0
35-44,Computing or Tech,135000,20000.0,USD,USA,Georgia,Atlanta,11-20,2-4,Master's degree,Woman,White,155000.0,155000.0
45-54,Health care,70000,0.0,CAD,CANADA,,Toronto,21-30,2-4,College degree,Woman,White,70000.0,50400.0
35-44,Engineering or Manufacturing,114000,4000.0,USD,USA,New Jersey,Edison,11-20,8-10,PhD,Woman,White,118000.0,118000.0
25-34,Nonprofits,95000,0.0,USD,USA,California,San Francisco ,8-10,5-7,Master's degree,Woman,Another option not listed here or prefer not to answer,95000.0,95000.0
55-64,Education (Primary/Secondary),60000,0.0,USD,USA,Massachusetts,North of Boston,21-30,8-10,Some college,Woman,White,60000.0,60000.0
35-44,Computing or Tech,123000,13000.0,USD,USA,Pennsylvania,Philadelphia,11-20,11-20,Master's degree,Man,White,136000.0,136000.0
25-34,Law,75000,0.0,CHF,CANADA,,St. John’s ,5-7,5-7,"Professional degree (MD, JD, etc.)",Woman,White,75000.0,92250.0
25-34,Computing or Tech,130000,0.0,USD,USA,Massachusetts,Boston,8-10,8-10,Master's degree,Woman,White,130000.0,130000.0
35-44,"Accounting, Banking & Finance",27500,300.0,GBP,UK,,Carlisle ,11-20,5-7,College degree,Woman,White,27800.0,37252.0
35-44,Education (Higher Education),56850,9000.0,GBP,UK,,"Nottingham, UK",11-20,11-20,"Professional degree (MD, JD, etc.)",Woman,White,65850.0,88239.0
35-44,Patent translation,52500,0.0,CAD,CANADA,,Hamilton,11-20,8-10,College degree,Woman,White,52500.0,37800.0
35-44,Health care,52000,4000.0,USD,USA,New York,Rochester,11-20,5-7,Master's degree,Man,White,56000.0,56000.0
35-44,Law,114373,16156.0,USD,USA,Utah,Sandy,8-10,8-10,"Professional degree (MD, JD, etc.)",Woman,White,130529.0,130529.0
25-34,Education (Higher Education),53000,0.0,USD,USA,Wisconsin,Madison,8-10,0-1,PhD,Other or prefer not to answer,White,53000.0,53000.0
25-34,Computing or Tech,165000,50000.0,USD,USA,California,Cupertino,5-7,31-40,PhD,Man,White,215000.0,215000.0
45-54,Social Work,48000,0.0,USD,USA,Michigan,Detroit,21-30,11-20,Master's degree,Woman,White,48000.0,48000.0
35-44,Education (Higher Education),107000,9000.0,USD,USA,Illinois,Chicago,11-20,11-20,Master's degree,Man,White,116000.0,116000.0
35-44,Law,93000,0.0,USD,USA,Colorado,Fort Collins,8-10,8-10,"Professional degree (MD, JD, etc.)",Woman,White,93000.0,93000.0
18-24,Government and Public Administration,34859,0.0,USD,USA,North Carolina,Major state metro area ,2-4,0-1,Master's degree,Woman,White,34859.0,34859.0
35-44,Agriculture or Forestry,29808,0.0,USD,USA,Virginia,Glen Allen,5-7,2-4,College degree,Non-binary,Native American or Alaska Native,29808.0,29808.0
25-34,Insurance,128000,17000.0,USD,USA,North Carolina,Durham,8-10,2-4,Master's degree,Woman,White,145000.0,145000.0
35-44,apparel design/product development ,52000,100.0,USD,USA,Virginia,Vienna,5-7,5-7,College degree,Woman,White,52100.0,52100.0
35-44,Health care,71000,0.0,USD,USA,Massachusetts,Boston,11-20,8-10,College degree,Woman,White,71000.0,71000.0
25-34,Nonprofits,69000,0.0,USD,USA,Illinois,,2-4,2-4,Master's degree,Woman,White,69000.0,69000.0
25-34,"Accounting, Banking & Finance",25500,0.0,GBP,UK,,N/a,8-10,2-4,College degree,Man,White,25500.0,34170.0
45-54,Health care,100000,5000.0,USD,USA,Florida,Tampa,21-30,11-20,Master's degree,Woman,White,105000.0,105000.0
25-34,Education (Higher Education),84000,0.0,USD,USA,California,Los Angeles,8-10,8-10,Master's degree,Woman,White,84000.0,84000.0
25-34,Health care,118000,0.0,USD,USA,Connecticut,"Derby, CT",2-4,2-4,Master's degree,Woman,Another option not listed here or prefer not to answer,118000.0,118000.0
45-54,Media & Digital,73000,0.0,USD,USA,Iowa,Des Moines,21-30,21-30,Master's degree,Woman,White,73000.0,73000.0
55-64,Education (Higher Education),45360,5000.0,USD,USA,Pennsylvania,Pittsburgh,31-40,5-7,Some college,Woman,White,50360.0,50360.0
35-44,Media & Digital,58000,0.0,USD,USA,Nevada,Las Vegas,11-20,11-20,College degree,Man,White,58000.0,58000.0
25-34,Nonprofits,60000,0.0,USD,USA,Minnesota,Minneapolis,5-7,2-4,College degree,Woman,White,60000.0,60000.0
35-44,Law,92500,5000.0,USD,USA,Virginia,McLean,21-30,11-20,College degree,Woman,"Hispanic, Latino, or Spanish origin",97500.0,97500.0
45-54,Insurance,70000,0.0,CAD,CANADA,,Winnipeg,11-20,11-20,Some college,Woman,White,70000.0,50400.0
35-44,"Accounting, Banking & Finance",63600,0.0,USD,USA,Louisiana,Shreveport,11-20,11-20,College degree,Woman,White,63600.0,63600.0
35-44,Education (Primary/Secondary),90000,1500.0,USD,USA,Rhode Island,Woonsocket,8-10,8-10,Master's degree,Woman,White,91500.0,91500.0
35-44,Health care,55703,0.0,GBP,UK,,London,11-20,5-7,College degree,Woman,White,55703.0,74642.02
25-34,Computing or Tech,138500,53200.0,CAD,CANADA,,Vancouver,8-10,8-10,College degree,Woman,White,191700.0,138024.0
45-54,Nonprofits,74000,0.0,USD,USA,Pennsylvania,Philadelphia,11-20,11-20,Master's degree,Woman,White,74000.0,74000.0
35-44,Law,73000,0.0,USD,USA,Virginia,Harrisonburg,11-20,11-20,"Professional degree (MD, JD, etc.)",Woman,White,73000.0,73000.0
35-44,Media & Digital,119000,6000.0,USD,USA,Colorado,Denver,8-10,8-10,Master's degree,Woman,"Asian or Asian American, White",125000.0,125000.0
35-44,"Marketing, Advertising & PR",75000,1500.0,USD,USA,Nebraska,Omaha,11-20,8-10,College degree,Woman,White,76500.0,76500.0
45-54,Religious institution,54080,250.0,USD,USA,Massachusetts,Arlington,11-20,5-7,Master's degree,Woman,White,54330.0,54330.0
35-44,Business or Consulting,101050,8000.0,USD,USA,California,Irvine,11-20,11-20,College degree,Woman,White,109050.0,109050.0
25-34,Engineering or Manufacturing,86000,14000.0,CAD,CANADA,,Toronto,8-10,8-10,College degree,Woman,White,100000.0,72000.0
35-44,Government and Public Administration,110603,100.0,USD,USA,Maryland,Rockville,8-10,5-7,PhD,Woman,White,110703.0,110703.0
35-44,Media & Digital,70000,0.0,USD,USA,California,Martinez (Bay Area),8-10,8-10,College degree,Woman,White,70000.0,70000.0
25-34,Education (Primary/Secondary),34444,0.0,USD,USA,Montana,Missoula,21-30,11-20,College degree,Woman,White,34444.0,34444.0
35-44,Utilities & Telecommunications,60000,14000.0,USD,USA,Tennessee,Memphis,11-20,5-7,College degree,Woman,White,74000.0,74000.0
55-64,Education (Higher Education),110000,0.0,USD,USA,New York,NYC,21-30,21-30,PhD,Man,White,110000.0,110000.0
55-64,Law,93000,1500.0,CAD,CANADA,,Toronto,21-30,11-20,College degree,Woman,White,94500.0,68040.0
35-44,Computing or Tech,206000,0.0,USD,USA,California,Santa Clara,11-20,11-20,College degree,Woman,White,206000.0,206000.0
55-64,Sales,39000,0.0,CAD,CANADA,,Lower Mainland,31-40,21-30,Some college,Woman,White,39000.0,28080.0
45-54,Education (Higher Education),46700,0.0,USD,USA,Washington,TACOMA,21-30,21-30,College degree,Man,White,46700.0,46700.0
25-34,Education (Higher Education),21800,100.0,GBP,UK,,York,5-7,0-1,College degree,Woman,White,21900.0,29346.0
25-34,Law,70000,2000.0,USD,USA,Pennsylvania,Harrisburg Area ,5-7,5-7,"Professional degree (MD, JD, etc.)",Woman,White,72000.0,72000.0
25-34,Biotech,55000,5000.0,USD,USA,Minnesota,Minneapolis,2-4,2-4,College degree,Woman,White,60000.0,60000.0
25-34,Recruitment or HR,115000,11500.0,USD,USA,Massachusetts,Cambridge,8-10,5-7,Master's degree,Man,White,126500.0,126500.0
25-34,Government and Public Administration,48000,0.0,CAD,CANADA,,Ontario,5-7,8-10,College degree,Woman,White,48000.0,34560.0
25-34,Law,44000,3000.0,USD,USA,Texas,Dallas ,8-10,5-7,College degree,Woman,"Hispanic, Latino, or Spanish origin",47000.0,47000.0
35-44,Defense Contracting,115000,0.0,USD,USA,Virginia,Alexandria,5-7,5-7,Master's degree,Woman,White,115000.0,115000.0
25-34,"Accounting, Banking & Finance",85000,12000.0,USD,USA,New Jersey,Weehawken,5-7,5-7,"Professional degree (MD, JD, etc.)",Woman,White,97000.0,97000.0
25-34,Health care,65000,0.0,USD,USA,Massachusetts,Springfield,2-4,2-4,Master's degree,Woman,White,65000.0,65000.0
25-34,Education (Primary/Secondary),79023,0.0,USD,USA,Massachusetts, ,11-20,8-10,Master's degree,Woman,White,79023.0,79023.0
25-34,Engineering or Manufacturing,85000,0.0,USD,USA,Florida,Fort Lauderdale ,8-10,8-10,Master's degree,Woman,White,85000.0,85000.0
25-34,"Marketing, Advertising & PR",91000,0.0,USD,USA,Oregon,"Portland, OR",8-10,5-7,College degree,Woman,White,91000.0,91000.0
18-24,Computing or Tech,80800,2000.0,USD,USA,Minnesota,Minneapolis,2-4,2-4,Master's degree,Woman,White,82800.0,82800.0
35-44,Chemistry,107000,7000.0,USD,USA,Texas,Houston,8-10,8-10,PhD,Woman,Another option not listed here or prefer not to answer,114000.0,114000.0
25-34,Education (Higher Education),51000,0.0,USD,USA,Kentucky,Highland Heights,8-10,8-10,Master's degree,Woman,White,51000.0,51000.0
25-34,Architecture ,54000,2000.0,USD,USA,Massachusetts,Springfield ,8-10,8-10,College degree,Woman,White,56000.0,56000.0
45-54,Sales,50000,2000.0,USD,USA,Georgia,Roswell,11-20,5-7,Master's degree,Woman,White,52000.0,52000.0
35-44,Law,91000,0.0,USD,USA,New Hampshire,Not Disclosing,11-20,11-20,"Professional degree (MD, JD, etc.)",Woman,White,91000.0,91000.0
25-34,Health care,70000,7000.0,USD,USA,Illinois,Chicago,2-4,0-1,Master's degree,Woman,White,77000.0,77000.0
35-44,Health care,50000,0.0,USD,USA,Kansas,Wichita,11-20,8-10,College degree,Woman,White,50000.0,50000.0
35-44,"Accounting, Banking & Finance",77776,0.0,USD,USA,New Jersey,Brick,11-20,11-20,Master's degree,Woman,White,77776.0,77776.0
45-54,Sales,85000,1000.0,USD,USA,Kentucky,Lawrenceburg,21-30,5-7,Master's degree,Woman,White,86000.0,86000.0
25-34,Hospitality & Events,59800,0.0,USD,USA,North Carolina,Charlotte ,5-7,5-7,College degree,Woman,White,59800.0,59800.0
25-34,Retail,30900,0.0,CAD,CANADA,,St. Catharines,2-4,2-4,Some college,Other or prefer not to answer,White,30900.0,22248.0
25-34,Business or Consulting,75000,15000.0,USD,USA,Texas,Austin,8-10,5-7,College degree,Woman,White,90000.0,90000.0
25-34,Nonprofits,55000,5000.0,USD,USA,Texas,Houston,8-10,8-10,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",60000.0,60000.0
35-44,Law,62800,0.0,USD,USA,Minnesota,Minneapolis,11-20,8-10,College degree,Woman,White,62800.0,62800.0
25-34,Hospitality & Events,49000,1000.0,USD,USA,Louisiana,New Orleans,8-10,2-4,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",50000.0,50000.0
35-44,Publishing,40000,0.0,USD,USA,Kansas,Salina,11-20,5-7,College degree,Woman,White,40000.0,40000.0
35-44,Education (Higher Education),49000,0.0,USD,USA,Wisconsin,Madison,11-20,8-10,Master's degree,Woman,White,49000.0,49000.0
35-44,"Accounting, Banking & Finance",75000,1200.0,USD,USA,Missouri,St. Louis,21-30,21-30,Master's degree,Woman,White,76200.0,76200.0
45-54,"Accounting, Banking & Finance",97000,4000.0,USD,USA,Connecticut,Hartford,21-30,21-30,Some college,Woman,White,101000.0,101000.0
35-44,Engineering or Manufacturing,97000,4000.0,USD,USA,Oregon,Hillsboro,11-20,5-7,College degree,Woman,White,101000.0,101000.0
45-54,Education (Primary/Secondary),65000,0.0,USD,USA,Missouri,St. Louis,21-30,21-30,Master's degree,Woman,White,65000.0,65000.0
25-34,Health care,44345,0.0,USD,USA,Tennessee,Germantown,5-7,5-7,College degree,Woman,White,44345.0,44345.0
35-44,Property or Construction,96500,2500.0,USD,USA,Rhode Island,Providence,11-20,11-20,College degree,Woman,White,99000.0,99000.0
35-44,Computing or Tech,84000,2000.0,USD,USA,California,Los Angeles,8-10,5-7,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",86000.0,86000.0
35-44,Education (Higher Education),54000,6000.0,USD,USA,Nebraska,,11-20,11-20,Master's degree,Woman,White,60000.0,60000.0
45-54,Health care,72800,0.0,USD,USA,New York,NYC - Queens,11-20,2-4,Master's degree,Woman,White,72800.0,72800.0
35-44,Nonprofits,74020,0.0,CAD,CANADA,,Toronto,11-20,11-20,Some college,Woman,White,74020.0,53294.4
35-44,Government and Public Administration,77269,0.0,USD,USA,Virginia,Fairfax County,11-20,11-20,Master's degree,Woman,White,77269.0,77269.0
25-34,Computing or Tech,90000,0.0,USD,USA,Oregon,Portland,8-10,2-4,Master's degree,Woman,White,90000.0,90000.0
25-34,Recruitment or HR,81100,0.0,USD,USA,Texas,Fort Worth,5-7,5-7,College degree,Man,Black or African American,81100.0,81100.0
45-54,Engineering or Manufacturing,80000,5000.0,USD,USA,Michigan,Lansing,21-30,21-30,College degree,Woman,White,85000.0,85000.0
35-44,Government and Public Administration,33508,0.0,USD,USA,Montana,Troy,21-30,2-4,High School,Woman,White,33508.0,33508.0
35-44,Education (Higher Education),70000,8000.0,USD,USA,Michigan,East Lansing,8-10,2-4,PhD,Woman,White,78000.0,78000.0
35-44,Insurance,92781,12000.0,USD,USA,Illinois,Bloomington,11-20,5-7,College degree,Woman,White,104781.0,104781.0
25-34,Engineering or Manufacturing,108000,0.0,USD,USA,Pennsylvania,Williamsport ,8-10,8-10,College degree,Woman,White,108000.0,108000.0
25-34,Engineering or Manufacturing,122000,0.0,USD,USA,Massachusetts,Boston,11-20,11-20,Master's degree,Man,White,122000.0,122000.0
18-24,"Accounting, Banking & Finance",42000,0.0,USD,USA,Connecticut,Hampton ,2-4,2-4,Some college,Woman,White,42000.0,42000.0
45-54,Public Libraries,39000,0.0,USD,USA,Virginia,Richmond ,31-40,11-20,Master's degree,Woman,White,39000.0,39000.0
35-44,Education (Higher Education),85000,0.0,EUR,USA,Utah,Salt Lake City,11-20,11-20,Master's degree,Woman,White,85000.0,97749.99999999999
45-54,Nonprofits,76000,0.0,USD,USA,Ohio,Wooster,11-20,11-20,College degree,Woman,White,76000.0,76000.0
35-44,"Construction, mining, manufacturing",80000,12500.0,CAD,CANADA,,Nanaimo,21-30,11-20,College degree,Woman,White,92500.0,66600.0
25-34,"Marketing, Advertising & PR",66000,0.0,USD,USA,Washington,Seattle ,8-10,8-10,College degree,Woman,White,66000.0,66000.0
25-34,Education (Higher Education),37000,0.0,USD,USA,Wisconsin,Appleton,5-7,5-7,Master's degree,Woman,White,37000.0,37000.0
35-44,Nonprofits,54000,0.0,USD,USA,Colorado,Boulder,5-7,2-4,Master's degree,Woman,White,54000.0,54000.0
25-34,"Accounting, Banking & Finance",80000,2000.0,USD,USA,Alaska,Anchorage,2-4,2-4,College degree,Woman,White,82000.0,82000.0
25-34,Computing or Tech,85000,8500.0,USD,USA,Wisconsin,Milwaukee,8-10,8-10,College degree,Woman,White,93500.0,93500.0
25-34,Government Relations,112500,0.0,USD,USA,District of Columbia,"Washington, DC",8-10,8-10,College degree,Woman,White,112500.0,112500.0
25-34,Nonprofits,71000,0.0,USD,USA,Alabama,"Birmingham, AL",8-10,8-10,College degree,Woman,White,71000.0,71000.0
35-44,Property or Construction,52000,1000.0,USD,USA,Oregon,Portland,21-30,8-10,College degree,Woman,White,53000.0,53000.0
35-44,Government and Public Administration,97395,0.0,USD,USA,Illinois,Chicago,8-10,8-10,Master's degree,Woman,White,97395.0,97395.0
25-34,Media & Digital,45000,1000.0,USD,USA,Washington,Seattle,8-10,5-7,College degree,Woman,White,46000.0,46000.0
35-44,Computing or Tech,63000,500.0,USD,USA,Delaware,Newark,11-20,11-20,College degree,Woman,White,63500.0,63500.0
35-44,Government and Public Administration,76000,0.0,CAD,CANADA,,Ottawa,5-7,5-7,Master's degree,Woman,White,76000.0,54720.0
45-54,Automotive,229500,50000.0,USD,USA,California,Sunnyvale,21-30,11-20,PhD,Woman,White,279500.0,279500.0
35-44,Health care,26500,0.0,USD,USA,Michigan,Jackson,11-20,5-7,Some college,Woman,White,26500.0,26500.0
25-34,Education (Higher Education),65000,0.0,USD,USA,Pennsylvania,Pittsburgh,11-20,8-10,Master's degree,Man,White,65000.0,65000.0
25-34,Education (Primary/Secondary),73500,0.0,USD,USA,Illinois,Chicago,8-10,8-10,College degree,Woman,White,73500.0,73500.0
25-34,Public libraries,37500,0.0,USD,USA,Kentucky,Lexington,5-7,8-10,Master's degree,Woman,White,37500.0,37500.0
25-34,Engineering or Manufacturing,102545,5000.0,USD,USA,Michigan,Detroit,5-7,5-7,Master's degree,Woman,White,107545.0,107545.0
25-34,Insurance,116000,11000.0,USD,USA,Massachusetts,Boston,5-7,5-7,College degree,Man,White,127000.0,127000.0
25-34,Sales,52000,0.0,USD,USA,Missouri,St. Louis ,11-20,11-20,College degree,Woman,White,52000.0,52000.0
25-34,"Marketing, Advertising & PR",75000,0.0,USD,USA,North Carolina,"wilmington, nc",5-7,5-7,College degree,Woman,"Black or African American, White",75000.0,75000.0
25-34,Computing or Tech,113000,22000.0,USD,USA,California,Oakland,5-7,2-4,College degree,Woman,"Middle Eastern or Northern African, White",135000.0,135000.0
25-34,Engineering or Manufacturing,48000,0.0,GBP,UK,,Bristol,11-20,11-20,Master's degree,Woman,White,48000.0,64320.00000000001
45-54,Government and Public Administration,144128,0.0,USD,USA,District of Columbia,Washington,21-30,5-7,"Professional degree (MD, JD, etc.)",Man,White,144128.0,144128.0
35-44,Hospitality & Events,65000,5000.0,USD,USA,Virginia,Charlottesville,11-20,11-20,College degree,Woman,White,70000.0,70000.0
55-64,Insurance,38000,1200.0,USD,USA,Texas,San Antonio,21-30,21-30,Some college,Woman,White,39200.0,39200.0
35-44,Education (Higher Education),70000,0.0,USD,USA,West Virginia,Charles Town,11-20,11-20,Master's degree,Woman,White,70000.0,70000.0
35-44,Computing or Tech,125000,0.0,USD,USA,New York,New York,11-20,11-20,College degree,Woman,White,125000.0,125000.0
45-54,Computing or Tech,135000,0.0,USD,USA,Oregon,Portland,21-30,11-20,College degree,Woman,White,135000.0,135000.0
45-54,Engineering or Manufacturing,135000,5000.0,USD,USA,Virginia,Arlington,21-30,11-20,Some college,Woman,White,140000.0,140000.0
25-34,Insurance,123746,6000.0,USD,USA,Illinois,Chicago,8-10,5-7,Master's degree,Man,White,129746.0,129746.0
35-44,Health care,66000,2500.0,USD,USA,Texas,Houston,11-20,5-7,High School,Woman,White,68500.0,68500.0
25-34,Nonprofits,47736,5000.0,USD,USA,New Hampshire,Raymond,8-10,8-10,Master's degree,Woman,White,52736.0,52736.0
35-44,Health care,52500,0.0,USD,USA,Indiana,Indianapolis ,21-30,8-10,Master's degree,Woman,White,52500.0,52500.0
35-44,Engineering or Manufacturing,120000,0.0,USD,USA,Kansas,Kansas City,11-20,11-20,Master's degree,Woman,White,120000.0,120000.0
35-44,Sales,99000,9000.0,USD,USA,Massachusetts,Boston,11-20,5-7,Master's degree,Woman,White,108000.0,108000.0
25-34,Business or Consulting,70000,0.0,USD,USA,New Mexico,Albuquerque ,5-7,5-7,College degree,Woman,White,70000.0,70000.0
35-44,"Accounting, Banking & Finance",165000,30000.0,USD,USA,Missouri,Saint Louis,11-20,11-20,Master's degree,Woman,White,195000.0,195000.0
25-34,Business or Consulting,123000,0.0,USD,USA,Maryland,,8-10,5-7,Master's degree,Woman,White,123000.0,123000.0
25-34,Engineering or Manufacturing,108000,60000.0,USD,USA,Virginia,Reston,5-7,5-7,College degree,Woman,White,168000.0,168000.0
25-34,clinical research,89000,0.0,USD,USA,North Carolina,Durham,8-10,8-10,Master's degree,Woman,White,89000.0,89000.0
25-34,Health care,67000,0.0,USD,USA,Massachusetts,Boston,8-10,8-10,College degree,Woman,White,67000.0,67000.0
25-34,Health care,85000,0.0,USD,USA,Ohio,Toledo,8-10,5-7,College degree,Woman,White,85000.0,85000.0
25-34,Computing or Tech,115000,0.0,USD,USA,New York,New York City,5-7,5-7,College degree,Man,White,115000.0,115000.0
25-34,Computing or Tech,280000,0.0,USD,USA,Texas,,11-20,11-20,College degree,Woman,White,280000.0,280000.0
25-34,Computing or Tech,120000,0.0,USD,USA,New York,New York,5-7,5-7,Master's degree,Man,White,120000.0,120000.0
45-54,"Accounting, Banking & Finance",165000,10000.0,USD,USA,New York,NYC ,21-30,11-20,Master's degree,Woman,White,175000.0,175000.0
35-44,"Accounting, Banking & Finance",175000,25000.0,USD,USA,California,San Francisco,11-20,11-20,Master's degree,Woman,White,200000.0,200000.0
25-34,"Marketing, Advertising & PR",58000,8000.0,USD,USA,New Jersey,Fairfield,8-10,8-10,College degree,Woman,White,66000.0,66000.0
25-34,Nonprofits,50000,0.0,USD,USA,Massachusetts,Somerville,11-20,11-20,College degree,Woman,White,50000.0,50000.0
25-34,Insurance,132500,21500.0,USD,USA,Pennsylvania,Philadelphia,8-10,8-10,College degree,Woman,White,154000.0,154000.0
25-34,Engineering or Manufacturing,45000,0.0,CAD,CANADA,,Greater Toronto Area,5-7,2-4,College degree,Woman,White,45000.0,32400.0
35-44,Education (Higher Education),78650,0.0,USD,USA,Illinois,Chicago,11-20,11-20,Master's degree,Woman,White,78650.0,78650.0
25-34,"Marketing, Advertising & PR",62700,0.0,USD,USA,Maryland,Gaitherburg ,8-10,5-7,Master's degree,Woman,White,62700.0,62700.0
45-54,"Accounting, Banking & Finance",121800,0.0,USD,USA,Texas,Irving,11-20,5-7,Master's degree,Woman,White,121800.0,121800.0
65 or over,Health care,125000,35000.0,USD,USA,Texas,San Antonio,41+,31-40,Some college,Woman,White,160000.0,160000.0
45-54,Computing or Tech,175000,5000.0,USD,USA,Pennsylvania,Pittsburgh,21-30,21-30,Master's degree,Woman,White,180000.0,180000.0
45-54,Computing or Tech,74000,0.0,CAD,CANADA,,Toronto,21-30,11-20,Some college,Woman,White,74000.0,53280.0
25-34,Art & Design,104000,0.0,USD,USA,Pennsylvania,Philadelphia,5-7,5-7,College degree,Woman,White,104000.0,104000.0
